SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime_GMT,Latitude,Longitude,Volume_L,SequencingID,Alias1,Alias2,Notes
S06C1_A_600,km1513,6,,0.2,A,15,15-07-26 17:11,24.349,-156.798,6,,S6C1_A_0600,,
S06C1_C_600,km1513,6,,0.2,C,15,15-07-26 17:11,24.349,-156.798,6.5,,S6C1_C_0600,,
S07C1_A_1000,km1513,7,,0.2,A,15,15-07-26 20:25,24.367,-156.799,7,,S7C1_A_1000,,
S07C1_B_1000,km1513,7,,0.2,B,15,15-07-26 20:25,24.367,-156.799,8.5,,S7C1_B_1000,,
S08C1_B_1400,km1513,8,,0.2,B,15,15-07-27 00:29,24.388,-156.767,8,,S8C1_B_1400,,
S08C1_C_1400,km1513,8,,0.2,C,15,15-07-27 00:29,24.388,-156.767,6.5,,S8C1_C_1400,,
S11C1_A_1800,km1513,11,,0.2,A,15,15-07-27 04:27,24.374,-156.792,6.5,,S11C1_A_1800,,
S11C1_C_1800,km1513,11,,0.2,C,15,15-07-27 04:27,24.374,-156.792,8,,S11C1_C_1800,,
S14C1_B_2200,km1513,14,,0.2,B,15,15-07-27 08:46,24.424,-156.761,6.5,,S14C1_B_2200,,
S14C1_C_2200,km1513,14,,0.2,C,15,15-07-27 08:46,24.424,-156.761,6,,S14C1_C_2200,,
S15C1_B_200,km1513,15,,0.2,B,15,15-07-27 12:27,24.46,-156.738,6.5,,S15C1_B_0200,,
S15C1_C_200,km1513,15,,0.2,C,15,15-07-27 12:27,24.46,-156.738,6,,S15C1_C_0200,,
S16C1_A_600,km1513,16,,0.2,A,15,15-07-27 16:26,24.481,-156.718,6.25,,S16C1_A_0600,,
S16C1_B_600,km1513,16,,0.2,B,15,15-07-27 16:26,24.481,-156.718,6.5,,S16C1_B_0600,,
S17C1_A_1000,km1513,17,,0.2,A,15,15-07-27 20:23,24.497,-156.687,6,,S17C1_A_1000,,
S17C1_B_1000,km1513,17,,0.2,B,15,15-07-27 20:23,24.497,-156.687,7,,S17C1_B_1000,,
S18C1_A_1400,km1513,18,,0.2,A,15,15-07-28 00:41,24.533,-156.646,7,,S18C1_A_1400,,
S18C1_C_1400,km1513,18,,0.2,C,15,15-07-28 00:41,24.533,-156.646,8.75,,S18C1_C_1400,,
S19C1_A_1800,km1513,19,,0.2,A,15,15-07-28 04:35,24.539,-156.637,6.75,,S19C1_A_1800,,
S19C1_C_1800,km1513,19,,0.2,C,15,15-07-28 04:35,24.539,-156.637,7.5,,S19C1_C_1800,,
S20C1_B_2200,km1513,20,,0.2,B,15,15-07-28 08:28,24.541,-156.634,7.75,,S20C1_B_2200,,
S20C1_C_2200,km1513,20,,0.2,C,15,15-07-28 08:28,24.541,-156.634,7,,S20C1_C_2200,,
S21C1_B_200,km1513,21,,0.2,B,15,15-07-28 12:30,24.552,-156.581,8,,S21C1_B_0200,,
S21C1_C_200,km1513,21,,0.2,C,15,15-07-28 12:30,24.552,-156.581,8.75,,S21C1_C_0200,,
S22C1_A_600,km1513,22,,0.2,A,15,15-07-28 16:24,24.552,-156.585,7,,S22C1_A_0600,,
S22C1_C_600,km1513,22,,0.2,C,15,15-07-28 16:24,24.552,-156.585,7.5,,S22C1_C_0600,,
S23C1_B_1000,km1513,23,,0.2,B,15,15-07-28 20:19,24.564,-156.557,8,,S23C1_B_1000,,
S23C1_C_1000,km1513,23,,0.2,C,15,15-07-28 20:19,24.564,-156.557,8,,S23C1_C_1000,,
S24C1_A_1400,km1513,24,,0.2,A,15,15-07-29 00:33,24.595,-156.524,6.75,,S24C1_A_1400,,
S24C1_B_1400,km1513,24,,0.2,B,15,15-07-29 00:33,24.595,-156.524,7.5,,S24C1_B_1400,,
S26C1_A_1800,km1513,26,,0.2,A,15,15-07-29 04:37,24.603,-156.51,6.5,,S26C1_A_1800,,
S26C1_C_1800,km1513,26,,0.2,C,15,15-07-29 04:37,24.603,-156.51,7.5,,S26C1_C_1800,,
S28C1_B_2200,km1513,28,,0.2,B,15,15-07-29 08:26,24.603,-156.504,8.25,,S28C1_B_2200,,
S28C1_C_2200,km1513,28,,0.2,C,15,15-07-29 08:26,24.603,-156.504,8,,S28C1_C_2200,,
S29C1_A_200,km1513,29,,0.2,A,15,15-07-29 12:31,24.586,-156.438,8.25,,S29C1_A_0200,,
S29C1_C_200,km1513,29,,0.2,C,15,15-07-29 12:31,24.586,-156.438,7.75,,S29C1_C_0200,,
S30C1_A_600,km1513,30,,0.2,A,15,15-07-29 16:24,24.576,-156.42,7,,S30C1_A_0600,,
S30C1_C_600,km1513,30,,0.2,C,15,15-07-29 16:24,24.576,-156.42,7,,S30C1_C_0600,,
S31C1_A_1000,km1513,31,,0.2,A,15,15-07-29 20:25,24.57,-156.426,8,,S31C1_A_1000,,
S31C1_C_1000,km1513,31,,0.2,C,15,15-07-29 20:25,24.57,-156.426,8.25,,S31C1_C_1000,,
S32C1_B_1400,km1513,32,,0.2,B,15,15-07-30 00:26,24.583,-156.413,6,,S32C1_B_1400,,
S32C1_C_1400,km1513,32,,0.2,C,15,15-07-30 00:26,24.583,-156.413,6.5,,S32C1_C_1400,,
