SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime_GMT,Latitude,Longitude,Volume_L,SequencingID,Alias1,Alias2,Notes
S02C1_0_2umA,kok1606,2,1,0.2,A,15,4/20/16 15:11,23.49583333,157.9943333,10,175911,S2C1_0.2umA,S02C1_0.2umA,
S02C1_0_2umB,kok1606,2,1,0.2,B,15,4/20/16 15:11,23.49583333,157.9943333,10,175890,S2C1_0.2umB,S02C1_0.2umB,
S02C1_0_2umC,kok1606,2,1,0.2,C,15,4/20/16 15:11,23.49583333,157.9943333,10,175915,S2C1_0.2umC,S02C1_0.2umC,
S02C1_3umA,kok1606,2,1,3,A,15,4/20/16 15:11,23.49583333,157.9943333,10,175902,S2C1_3umA,S02C1_3umA,
S02C1_3umB,kok1606,2,1,3,B,15,4/20/16 15:11,23.49583333,157.9943333,10,175913,S2C1_3umB,S02C1_3umB,
S02C1_3umC,kok1606,2,1,3,C,15,4/20/16 15:11,23.49583333,157.9943333,10,175874,S2C1_3umC,S02C1_3umC,
S04C1_0_2umA,kok1606,4,1,0.2,A,15,4/22/16 15:01,28.14316667,158.0006667,10,175910,S4C1_0.2umA,S04C1_0.2umA,
S04C1_0_2umB,kok1606,4,1,0.2,B,15,4/22/16 15:01,28.14316667,158.0006667,10,175875,S4C1_0.2umB,S04C1_0.2umB,
S04C1_0_2umC,kok1606,4,1,0.2,C,15,4/22/16 15:01,28.14316667,158.0006667,10,175898,S4C1_0.2umC,S04C1_0.2umC,
S04C1_3umA,kok1606,4,1,3,A,15,4/22/16 15:01,28.14316667,158.0006667,10,175912,S4C1_3umA,S04C1_3umA,
S04C1_3umB,kok1606,4,1,3,B,15,4/22/16 15:01,28.14316667,158.0006667,10,175891,S4C1_3umB,S04C1_3umB,
S04C1_3umC,kok1606,4,1,3,C,15,4/22/16 15:01,28.14316667,158.0006667,10,175893,S4C1_3umC,S04C1_3umC,
S06C1_0_2umA,kok1606,6,1,0.2,A,15,4/24/16 15:03,32.5835,158.0016667,10,175903,S6C1_0.2umA,S06C1_0.2umA,
S06C1_0_2umB,kok1606,6,1,0.2,B,15,4/24/16 15:03,32.5835,158.0016667,10,175884,S6C1_0.2umB,S06C1_0.2umB,
S06C1_0_2umC,kok1606,6,1,0.2,C,15,4/24/16 15:03,32.5835,158.0016667,10,175894,S6C1_0.2umC,S06C1_0.2umC,
S06C1_3umA,kok1606,6,1,3,A,15,4/24/16 15:03,32.5835,158.0016667,10,175905,S6C1_3umA,S06C1_3umA,
S06C1_3umB,kok1606,6,1,3,B,15,4/24/16 15:03,32.5835,158.0016667,10,175917,S6C1_3umC,S06C1_3umC,
S06C1_3umC,kok1606,6,1,3,C,15,4/24/16 15:03,32.5835,158.0016667,,,,,failed seq
