SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime_GMT,Latitude,Longitude,Volume_L,SequencingID,Alias1,Alias2,Notes,,SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime,Latitude,Longitude,SequencingID,Alias1,Alias2,Notes
S02C1.15m.0_2um.A,mgl1704,2,1,0.2,A,15,5/29/17 14:26,25.76833333,-158.0141667,8,301465,S2C1Surf0.2umA,G2PA.S02C1.15m.0_2um.A,,,G2.SURF.NS.S02C1.15m.0_2um.A,mgl1704,2,1,0.2,A,15,5/29/17 14:26,25.76833333,-158.0141667,301405,S2C1Surf0.2umA,S02C1.15m.0_2um.A,none
S02C1.15m.0_2um.B,mgl1704,2,1,0.2,B,15,5/29/17 14:26,25.76833333,-158.0141667,8,301435,S2C1Surf0.2umB,G2PA.S02C1.15m.0_2um.B,,,G2.SURF.NS.S02C1.15m.0_2um.B,mgl1704,2,1,0.2,B,15,5/29/17 14:26,25.76833333,-158.0141667,301375,S2C1Surf0.2umB,S02C1.15m.0_2um.B,none
S02C1.15m.0_2um.C,mgl1704,2,1,0.2,C,15,5/29/17 14:26,25.76833333,-158.0141667,8,301441,S2C1Surf0.2umC,G2PA.S02C1.15m.0_2um.C,,,G2.SURF.NS.S02C1.15m.0_2um.C,mgl1704,2,1,0.2,C,15,5/29/17 14:26,25.76833333,-158.0141667,301381,S2C1Surf0.2umC,S02C1.15m.0_2um.C,none
S02C1.15m.3um.A,mgl1704,2,1,3,A,15,5/29/17 14:26,25.76833333,-158.0141667,8,301444,S2C1Surf3umA,G2PA.S02C1.15m.3um.A,,,G2.SURF.NS.S02C1.15m.3um.A,mgl1704,2,1,3,A,15,5/29/17 14:26,25.76833333,-158.0141667,301384,S2C1Surf3umA,S02C1.15m.3um.A,none
S02C1.15m.3um.B,mgl1704,2,1,3,B,15,5/29/17 14:26,25.76833333,-158.0141667,8,301448,S2C1Surf3umB,G2PA.S02C1.15m.3um.B,,,G2.SURF.NS.S02C1.15m.3um.B,mgl1704,2,1,3,B,15,5/29/17 14:26,25.76833333,-158.0141667,301388,S2C1Surf3umB,S02C1.15m.3um.B,none
S02C1.15m.3um.C,mgl1704,2,1,3,C,15,5/29/17 14:26,25.76833333,-158.0141667,8,301480,S2C1Surf3umC,G2PA.S02C1.15m.3um.C,,,G2.SURF.NS.S02C1.15m.3um.C,mgl1704,2,1,3,C,15,5/29/17 14:26,25.76833333,-158.0141667,301420,S2C1Surf3umC,S02C1.15m.3um.C,none
S05C1.15m.0_2um.A,mgl1704,5,1,0.2,A,15,6/1/17 13:26,36.062,-158.0006667,7,301468,S5C1Surf0.2umA,G2PA.S05C1.15m.0_2um.A,,,G2.SURF.NS.S05C1.15m.0_2um.A,mgl1704,5,1,0.2,A,15,6/1/17 13:26,36.062,-158.0006667,301408,S5C1Surf0.2umA,S05C1.15m.0_2um.A,none
S05C1.15m.0_2um.B,mgl1704,5,1,0.2,B,15,6/1/17 13:26,36.062,-158.0006667,7,301484,S5C1Surf0.2umB,G2PA.S05C1.15m.0_2um.B,,,G2.SURF.NS.S05C1.15m.0_2um.B,mgl1704,5,1,0.2,B,15,6/1/17 13:26,36.062,-158.0006667,301424,S5C1Surf0.2umB,S05C1.15m.0_2um.B,none
S05C1.15m.0_2um.C,mgl1704,5,1,0.2,C,15,6/1/17 13:26,36.062,-158.0006667,7,301452,S5C1Surf0.2umC,G2PA.S05C1.15m.0_2um.C,,,G2.SURF.NS.S05C1.15m.0_2um.C,mgl1704,5,1,0.2,C,15,6/1/17 13:26,36.062,-158.0006667,301392,S5C1Surf0.2umC,S05C1.15m.0_2um.C,none
S05C1.15m.3um.A,mgl1704,5,1,3,A,15,6/1/17 13:26,36.062,-158.0006667,7,301481,S5C1Surf3umA,G2PA.S05C1.15m.3um.A,,,G2.SURF.NS.S05C1.15m.3um.A,mgl1704,5,1,3,A,15,6/1/17 13:26,36.062,-158.0006667,301421,S5C1Surf3umA,S05C1.15m.3um.A,none
S05C1.15m.3um.B,mgl1704,5,1,3,B,15,6/1/17 13:26,36.062,-158.0006667,7,301451,S5C1Surf3umB,G2PA.S05C1.15m.3um.B,,,G2.SURF.NS.S05C1.15m.3um.B,mgl1704,5,1,3,B,15,6/1/17 13:26,36.062,-158.0006667,301391,S5C1Surf3umB,S05C1.15m.3um.B,none
S05C1.15m.3um.C,mgl1704,5,1,3,C,15,6/1/17 13:26,36.062,-158.0006667,7,301458,S5C1Surf3umC,G2PA.S05C1.15m.3um.C,,,G2.SURF.NS.S05C1.15m.3um.C,mgl1704,5,1,3,C,15,6/1/17 13:26,36.062,-158.0006667,301398,S5C1Surf3umC,S05C1.15m.3um.C,none
