SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime_HST,Latitude,Longitude,Volume_L,SequencingID,Alias1,Alias2,Notes
G3.UW.PA.UW25_1.7m.0_2um.A,km1906,,,0.2,A,7,4/11/19 5:45,25.87,-158,5.5,442931,UW25 A,UW36,
G3.UW.PA.UW25_1.7m.0_2um.B,km1906,,,0.2,B,7,4/11/19 5:45,25.87,-158,6,442946,UW25 B,UW51,
G3.UW.PA.UW25_1.7m.0_2um.C,km1906,,,0.2,C,7,4/11/19 5:45,25.87,-158,6,442922,UW25 C,UW27,
G3.UW.PA.UW25_1.7m.3um.A,km1906,,,3,A,7,4/11/19 5:45,25.87,-158,5.5,442954,UW25 A,UW59,
G3.UW.PA.UW25_1.7m.3um.B,km1906,,,3,B,7,4/11/19 5:45,25.87,-158,6,442932,UW25 B,UW37,
G3.UW.PA.UW25_1.7m.3um.C,km1906,,,3,C,7,4/11/19 5:45,25.87,-158,6,442952,UW25 C,UW57,
G3.UW.PA.UW29_1.7m.0_2um.B,km1906,,,0.2,B,7,4/12/19 5:50,29.46,-158,7.5,442939,UW29 B,UW44,
G3.UW.PA.UW29_1.7m.0_2um.C,km1906,,,0.2,C,7,4/12/19 5:50,29.46,-158,7,442916,UW29 C,UW21,
G3.UW.PA.UW29_1.7m.3um.B,km1906,,,3,B,7,4/12/19 5:50,29.46,-158,7.5,442961,UW29 B,UW67,
G3.UW.PA.UW29_1.7m.3um.C,km1906,,,3,C,7,4/12/19 5:50,29.46,-158,7,442924,UW29 C,UW29,
G3.UW.PA.UW31_2.7m.0_2um.A,km1906,,,0.2,A,7,4/27/19 5:53,31.43,-158,6,442900,UW31 #2 A,UW4,
G3.UW.PA.UW31_2.7m.0_2um.B,km1906,,,0.2,B,7,4/27/19 5:53,31.43,-158,9.25,442926,UW31 #2 B,UW31,
G3.UW.PA.UW31_2.7m.0_2um.C,km1906,,,0.2,C,7,4/27/19 5:53,31.43,-158,8.5,442899,UW31 #2 C,UW2,
G3.UW.PA.UW31_2.7m.3um.A,km1906,,,3,A,7,4/27/19 5:53,31.43,-158,6,442959,UW31 #2 A,UW64,
G3.UW.PA.UW31_2.7m.3um.B,km1906,,,3,B,7,4/27/19 5:53,31.43,-158,9.25,442915,UW31 #2 B,UW20,
G3.UW.PA.UW31_2.7m.3um.C,km1906,,,3,C,7,4/27/19 5:53,31.43,-158,8.5,442898,UW31 #2 C,UW1,
G3.UW.PA.UW32_1.7m.0_2um.A,km1906,,,0.2,A,7,4/13/19 5:47,32.3,-158,10,442909,UW32 A,UW13,
G3.UW.PA.UW32_1.7m.0_2um.B,km1906,,,0.2,B,7,4/13/19 5:47,32.3,-158,10,442953,UW32 B,UW58,
G3.UW.PA.UW32_1.7m.0_2um.C,km1906,,,0.2,C,7,4/13/19 5:47,32.3,-158,7,442914,UW32 C,UW19,
G3.UW.PA.UW32_1.7m.3um.A,km1906,,,3,A,7,4/13/19 5:47,32.3,-158,10,442960,UW32 A,UW66,
G3.UW.PA.UW32_1.7m.3um.B,km1906,,,3,B,7,4/13/19 5:47,32.3,-158,10,442903,UW32 B,UW7,
G3.UW.PA.UW32_1.7m.3um.C,km1906,,,3,C,7,4/13/19 5:47,32.3,-158,7,442906,UW32 C,UW10,
G3.UW.PA.UW32_3.7m.0_2um.A,km1906,,,0.2,A,7,4/22/19 5:56,32.93,-158,,442956,UW32 #3 A,UW61,failed
G3.UW.PA.UW32_3.7m.0_2um.B,km1906,,,0.2,B,7,4/22/19 5:56,32.93,-158,10,442921,UW32 #3 B,UW26,
G3.UW.PA.UW32_3.7m.0_2um.C,km1906,,,0.2,C,7,4/22/19 5:56,32.93,-158,9.75,442951,UW32 #3 C,UW56,
G3.UW.PA.UW32_3.7m.3um.A,km1906,,,3,A,7,4/22/19 5:56,32.93,-158,9,442904,UW32 #3 A,UW8,
G3.UW.PA.UW32_3.7m.3um.B,km1906,,,3,B,7,4/22/19 5:56,32.93,-158,10,442905,UW32 #3 B,UW9,
G3.UW.PA.UW32_3.7m.3um.C,km1906,,,3,C,7,4/22/19 5:56,32.93,-158,9.75,442930,UW32 #3 C,UW35,
G3.UW.PA.UW35_1.7m.0_2um.A,km1906,,,0.2,A,7,4/14/19 5:53,35.96,-158,10,442902,UW35 A,UW6,
G3.UW.PA.UW35_1.7m.0_2um.B,km1906,,,0.2,B,7,4/14/19 5:53,35.96,-158,8,442948,UW35 B,UW53,
