"sample_name","standards_added","volume_filtered","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","average","NORM_FACTOR"
"S02C1_02umA",5230198630,10,4013,741,251917,536780,1303043,792511,1241366,519331,774158,675.598344265641
"S02C1_02umB",5230198630,10,1785,249,325846,480596,1185085,803168,1207530,579274,763583.166666667,684.954679243627
"S02C1_02umC",5230198630,10,5231,1163,420547,704758,1692468,1084355,1756404,737839,1066061.83333333,490.609312374157
"S02C1_3umA",5230198630,10,1346,261,181413,259235,635186,406637,660874,298573,406986.333333333,1285.10424101055
"S02C1_3umB",5230198630,10,5390,1694,179581,383535,889218,537579,865869,363596,536563,974.759465337714
"S02C1_3umC",5230198630,10,3654,906,237142,402483,923777,606994,912570,423645,584435.166666667,894.915112625837
"S04C1_02umA",5230198630,10,4574,653,360871,541412,1341847,863154,1326006,585005,836382.5,625.335732156041
"S04C1_02umB",5230198630,10,5221,1440,270134,528963,1270764,801784,1304772,531638,784675.833333333,666.542590942544
"S04C1_02umC",5230198630,10,2932,600,213733,363799,859216,547766,824834,363370,528786.333333333,989.094895291671
"S04C1_3umA",5230198630,10,1634,554,108778,147516,413693,272482,396633,198915,256336.166666667,2040.36702975325
"S04C1_3umB",5230198630,10,2014,382,181182,278979,705113,466876,740768,354835,454625.5,1150.44110592125
"S04C1_3umC",5230198630,10,2527,457,256002,380526,874072,581902,865939,402662,560183.833333333,933.657545752094
"S06C1_02umA",5230198630,10,2150,566,200472,273158,645100,450338,664013,293967,421174.666666667,1241.81225603946
"S06C1_02umB",5230198630,10,1286,262,128874,162317,380361,268960,384535,177259,250384.333333333,2088.86816534048
"S06C1_02umC",5230198630,10,874,148,106994,122337,283779,211340,282059,140014,191087.166666667,2737.07477128675
"S06C1_3umA",5230198630,10,1081,200,98759,142322,333860,225723,331728,160990,215563.666666667,2426.28950920919
"S06C1_3umC",5230198630,10,702,150,94055,116412,263516,198389,257774,140247,178398.833333333,2931.74486193389
"S08C1_02umA",5230198630,10,1142,365,85712,128887,322873,205991,328168,141705,202222.666666667,2586.3562755906
"S08C1_02umB",5230198630,10,586,133,91430,116623,305114,212490,340990,147431,202346.333333333,2584.77558937729
"S08C1_02umC",5230198630,10,665,113,115671,132660,303251,246235,297717,169971,210917.5,2479.73668851565
"S08C1_3umA",5230198630,10,795,178,77068,97427,227723,166451,236857,114519,153340.833333333,3410.83227233451
"S08C1_3umB",5230198630,10,743,133,82244,103813,251173,180029,270042,127130,169071.833333333,3093.4772084055
"S08C1_3umC",5230198630,10,746,165,77785,94781,228294,161855,240279,117408,153400.333333333,3409.50929919752
"S09C1_02umA",5230198630,10,2305,436,134200,216386,517108,335928,523595,222975,325032,1609.13344839893
"S09C1_02umB",5230198630,10,2971,628,253143,338454,833943,551590,819353,356996,525579.833333333,995.129245509483
"S09C1_02umC",5230198630,10,2653,549,250353,321031,763693,537071,778457,358186,501465.166666667,1042.98343686883
"S09C1_3umA",5230198630,10,1561,371,126495,225118,494081,318785,472341,218654,309245.666666667,1691.27628735299
"S09C1_3umB",5230198630,10,1326,297,130777,169011,390409,280307,395608,208974,262514.333333333,1992.34783243582
"S09C1_3umC",5230198630,10,2083,574,149500,247569,580166,372329,589468,251092,365020.666666667,1432.85000210034
"S10_02umA",5230198630,5.75,1582,458,111702,154756,374888,250299,380199,168918,240127,3787.99452680927
"S10_02umB",5230198630,5.75,1215,186,140115,187083,435720,295515,453359,194782,284429,3197.98530297238
"S11C1_02umB",5230198630,7,1752,440,120766,205502,485597,339091,468518,231497,308495.166666667,2421.9868367159
"S11C1_3umA",5230198630,7.5,1779,408,204174,254789,570319,405557,569874,284026,381456.5,1828.15030634773
"S11C1_3umB",5230198630,7,2057,486,151070,196200,425776,303457,414504,210148,283525.833333333,2635.28449620573
"S12C1_02umA",5230198630,10,1065,329,70944,96844,245935,161811,266894,116186,159769,3273.60040433376
"S12C1_02umB",5230198630,10,820,192,87001,106805,261365,180711,271115,123293,171715,3045.8600762892
"S12C1_3umA",5230198630,10,345,60,36192,60476,151991,95094,156243,66166,94360.3333333333,5542.79371981871
"S12C1_3umB",5230198630,10,367,50,57978,87163,187620,144024,184348,94128,125876.833333333,4155.01287369532
"S13C1_02umA",5230198630,10,986,145,186778,273012,726667,493668,753783,366180,466681.333333333,1120.72162660602
"S13C1_3umA",5230198630,10,890,122,129685,193874,440110,311473,430016,206558,285286,1833.31766367785
"S13C1_3umB",5230198630,10,846,212,82681,129684,325426,203101,329291,149914,203349.5,2572.02433740924
"S14C1_02umA",5230198630,10,1968,420,196294,254889,590475,407474,594938,287145,388535.833333333,1346.13031316288
"S14C1_02umB",5230198630,9,4123,826,342655,594754,1414594,886186,1386627,556913,863621.5,672.902632821336
"S14C1_02umC",5230198630,8.5,5956,1647,375784,604301,1468437,936738,1485106,630421,916797.833333333,671.15940233536
"S14C1_3umA",5230198630,10,697,196,95882,126891,317843,209612,319244,145625,202516.166666667,2582.60795475588
"S14C1_3umB",5230198630,9,983,180,101570,156933,383420,238932,372506,174892,238042.166666667,2441.30352722288
"S14C1_3umC",5230198630,8.5,1530,285,163857,213863,572943,384298,612774,298875,374435,1643.32256835593
