sample_name,standards_added,volume_filtered,BPDExtraSmall1,BPDExtraSmall2,BPDSmall1,BPDSmall2,BPDMedium1,BPDMedium2,BPDLarge1,BPDLarge2,SmallStandard1,SmallStandard2,MediumStandard1,MediumStandard2,LargeStandard1,LargeStandard2,average,NORM_FACTOR
G2PA.S02C1.15m.0_2um.A,5230198630,8,102032,37243,270991,268944,727620,565733,676699,400096,119,46,144,207,253,315,485014,1347.950891
G2PA.S02C1.15m.0_2um.B,5230198630,8,86180,27446,728935,641177,1693095,1406126,1697883,1104191,246,176,437,321,880,871,1211901,539.4621663
G2PA.S02C1.15m.0_2um.C,5230198630,8,155331,49766,622438,622207,1660174,1342532,1623865,991403,353,185,385,401,831,830,1143770,571.5964958
G2PA.S02C1.15m.3um.A,5230198630,8,63364,19359,233539,251739,679099,481635,548553,343966,344,153,584,548,3898,2822,423089,1545.243675
G2PA.S02C1.15m.3um.B,5230198630,8,93599,22386,281985,302594,720734,576649,604679,381627,434,139,445,473,2038,1425,478045,1367.601972
G2PA.S02C1.15m.3um.C,5230198630,8,132413,32728,509693,558446,1055414,869105,840767,558439,641,259,1054,832,3974,3109,731977,893.1626691
G2PA.S05C1.15m.0_2um.A,5230198630,7,45430,17195,186477,178354,472828,367741,444458,275233,44,22,111,186,207,182,320849,2328.735315
G2PA.S05C1.15m.0_2um.B,5230198630,7,54509,23639,169469,164032,459715,351660,422208,248424,131,77,97,102,183,172,302585,2469.296416
G2PA.S05C1.15m.0_2um.C,5230198630,7,32548,11472,177167,149717,476017,386296,481220,293030,52,24,67,107,146,111,327241,2283.243397
G2PA.S05C1.15m.3um.A,5230198630,7,31008,7099,138942,141041,277846,256733,284647,175877,332,86,270,283,694,426,212514,3515.862771
G2PA.S05C1.15m.3um.B,5230198630,7,28757,6330,126679,132953,286167,256316,297378,179250,297,69,244,216,669,410,213124,3505.807967
G2PA.S05C1.15m.3um.C,5230198630,7,28991,7258,123884,121195,253390,233909,260154,162068,197,83,234,199,458,354,192433,3882.753678
G2PA.S06C1.15m.0_2um.A,5230198630,8,28079,9498,88101,93901,238992,187183,214338,132990,31,21,58,69,131,97,159251,4105.314962
G2PA.S06C1.15m.0_2um.B,5230198630,7,12504,4205,56085,58259,156935,116197,155543,89121,27,33,25,43,112,82,105357,7091.826806
G2PA.S06C1.15m.0_2um.C,5230198630,7.75,16595,5643,71533,69020,188500,137569,174915,102751,20,1,40,43,100,69,124048,5440.348408
G2PA.S06C1.15m.3um.A,5230198630,8,9977,3025,25188,28777,68902,54170,59298,37556,21,4,16,20,42,49,45649,14321.93454
G2PA.S06C1.15m.3um.B,5230198630,7,6815,1516,21351,23765,61670,45108,52452,34839,26,12,17,20,44,26,39864,18742.92868
G2PA.S06C1.15m.3um.C,5230198630,7.75,5060,1460,19057,21233,53154,41309,47253,29059,17,7,10,10,24,36,35178,19184.54522
G2PA.S07C1.15m.0_2um.A,5230198630,7,37699,11516,144487,143918,393697,308102,361798,214299,63,15,90,86,245,110,261050,2862.174893
G2PA.S07C1.15m.0_2um.B,5230198630,7.8,19809,5931,89213,94240,246291,189541,232736,140995,78,26,77,127,413,222,165503,4051.52557
G2PA.S07C1.15m.0_2um.C,5230198630,7,39382,12454,120892,128119,304960,244084,280299,172385,57,18,67,77,201,169,208457,3584.302878
G2PA.S07C1.15m.3um.A,5230198630,7,8829,2294,27720,28819,69350,56004,63166,40014,21,7,57,40,130,54,47512,15725.89266
G2PA.S07C1.15m.3um.B,5230198630,7.8,10240,3284,31773,32044,71876,58059,60855,39909,9,9,28,18,57,55,49086,13660.47928
G2PA.S07C1.15m.3um.C,5230198630,7,12924,4049,40514,42829,104625,81657,90869,56046,13,7,23,40,74,68,69423,10762.53756
G2PA.S09C1.15m.0_2um.A,5230198630,10,30662,11253,149808,158438,401695,307855,341346,218951,66,16,120,120,218,166,263016,1988.551485
G2PA.S09C1.15m.0_2um.B,5230198630,10,33454,10681,130626,129259,339611,275047,307043,198874,46,19,49,67,132,85,230077,2273.241657
G2PA.S09C1.15m.0_2um.C,5230198630,10,32927,10201,115870,127098,294476,246600,267604,172840,52,39,33,95,115,91,204081,2562.801087
G2PA.S09C1.15m.3um.A,5230198630,10,36954,11181,104936,118559,286450,218543,232314,141173,116,81,257,226,344,305,183663,2847.72266
G2PA.S09C1.15m.3um.B,5230198630,10,20279,5722,79675,88517,212920,166884,188647,114041,42,9,42,63,104,89,141781,3688.936406
G2PA.S09C1.15m.3um.C,5230198630,10,21885,6483,81696,91235,224391,174484,195732,116260,34,34,53,60,106,106,147300,3550.719936
G2PA.S11C1.15m.0_2um.A,5230198630,10,49194,16311,175955,179380,466411,370418,433251,266368,64,41,97,127,255,221,315297,1658.815614
G2PA.S11C1.15m.0_2um.B,5230198630,9,63393,24811,256942,248353,657730,514641,593945,380446,85,66,161,224,380,349,442010,1314.752694
G2PA.S11C1.15m.0_2um.C,5230198630,10,51083,16331,245854,269054,657168,475836,590824,373282,104,33,186,214,602,656,435336,1201.415602
G2PA.S11C1.15m.3um.A,5230198630,10,44881,11518,116843,129732,266917,219955,228399,148336,125,42,109,112,293,220,185030,2826.670922
G2PA.S11C1.15m.3um.B,5230198630,9,37878,12022,126793,139427,342557,265407,292336,176902,107,49,129,104,225,240,223904,2595.460761
G2PA.S11C1.15m.3um.C,5230198630,10,42285,10107,109566,121259,254717,211332,212565,140503,134,33,99,103,261,203,174990,2988.85003
G2PA.S15C1.15m.0_2um.A,5230198630,9,52270,16277,216403,203139,526089,439079,506038,325046,126,67,109,169,245,186,369299,1573.611575
G2PA.S15C1.15m.0_2um.B,5230198630,9,56676,17533,272575,258947,710005,551651,695914,416116,143,37,143,242,350,334,484201,1200.189138
G2PA.S15C1.15m.0_2um.C,5230198630,9,56158,17137,245788,233317,619735,487317,596992,359065,165,85,266,272,442,468,423702,1371.560021
G2PA.S15C1.15m.3um.A,5230198630,9,71789,15567,200694,217585,426830,372003,381085,242998,400,75,187,168,680,407,306866,1893.769583
G2PA.S15C1.15m.3um.B,5230198630,9,38135,8935,141221,159962,321017,283609,310519,191781,252,45,140,167,398,342,234685,2476.228109
G2PA.S15C1.15m.3um.C,5230198630,9,39798,8805,138660,152577,326065,282572,312412,196207,130,37,184,120,521,379,234749,2475.553011
G2PA.S16C1.15m.0_2um.A,5230198630,8,111919,41509,360281,362917,1020290,763322,953237,548325,273,114,137,302,494,431,668062,978.614004
G2PA.S16C1.15m.0_2um.B,5230198630,8.5,99784,32602,459744,417246,1260962,1004743,1221519,761664,226,131,524,429,1689,1366,854313,720.2483
G2PA.S16C1.15m.0_2um.C,5230198630,8,134398,45945,610946,619630,1712178,1286977,1605820,988786,176,116,420,667,1075,827,1137390,574.8029402
G2PA.S16C1.15m.3um.A,5230198630,8,36567,7534,149794,173977,375544,297611,346879,205275,193,51,153,171,664,485,258180,2532.244282
G2PA.S16C1.15m.3um.B,5230198630,8.5,34358,7170,132021,157280,335981,281509,324084,192644,164,50,149,144,529,389,237253,2593.505893
G2PA.S16C1.15m.3um.C,5230198630,8,71976,15324,176063,204546,363517,314308,304260,196160,247,74,185,215,526,356,259809,2516.367134
G2PA.S17C1.15m.0_2um.A,5230198630,7.2,107440,35012,397684,394652,1234625,932181,1226106,687025,167,117,281,339,693,555,812046,894.5514462
G2PA.S17C1.15m.0_2um.B,5230198630,8.5,105775,34388,397605,410466,1039711,828202,959549,587207,210,88,162,329,502,336,703790,874.2913168
G2PA.S17C1.15m.0_2um.C,5230198630,8.2,128036,33403,538865,628200,1367889,1126911,1335087,734915,131,62,173,387,383,267,955311,667.6663306
G2PA.S17C1.15m.3um.A,5230198630,7.2,48021,14430,190348,225492,572897,416929,442096,271405,170,75,299,234,1068,933,353195,2056.703817
G2PA.S17C1.15m.3um.B,5230198630,8.5,80162,23426,257203,267099,636014,491592,509781,300835,225,88,193,217,574,473,410421,1499.236115
G2PA.S17C1.15m.3um.C,5230198630,8.2,90082,19184,274713,305968,699971,548978,579858,365675,351,80,319,304,999,722,462527,1379.008947
G2PA.S18C1.15m.0_2um.A,5230198630,8,123397,23331,659443,812999,1711383,1345762,1490199,843553,289,125,300,505,1051,785,1143890,571.5365324
G2PA.S18C1.15m.0_2um.B,5230198630,9,109427,46073,296232,281591,795700,598382,730359,427576,126,70,112,171,360,428,521640,1114.050267
G2PA.S18C1.15m.3um.A,5230198630,8,43594,11781,167273,187929,490856,376570,425337,254356,181,75,227,186,987,791,317054,2062.033154
G2PA.S18C1.15m.3um.B,5230198630,9,64958,17531,227638,235426,561890,453755,486737,302085,275,101,291,250,873,618,377922,1537.707351
G2PA.S18C1.15m.3um.C,5230198630,9,82984,20349,280246,293091,572537,499732,526870,325188,430,94,333,318,1098,784,416277,1396.02408
